Family;Size;Locomotion;Attached;Lifehabit;Diet;LarvalMode;Status;LatitudinalRangePlio;bathymetry;Latmidpoint
6.00;100.00;1.00;2.00;1.00;1.00;2.00;0.00;0.00;2.00;-45.00
6.00;51.00;1.00;2.00;1.00;1.00;2.00;0.00;0.00;2.00;-45.00
6.00;25.40;1.00;2.00;1.00;1.00;2.00;0.00;0.00;2.00;-45.00
14.00;34.00;1.00;2.00;2.00;1.00;2.00;0.00;0.00;2.00;-23.11
24.00;64.50;1.00;2.00;1.00;1.00;2.00;1.00;11.13;3.00;-28.68
18.00;20.00;1.00;2.00;1.00;2.00;3.00;0.00;12.13;2.00;-20.99
18.00;30.00;1.00;2.00;1.00;2.00;3.00;1.00;18.34;2.00;-25.07
18.00;15.00;1.00;2.00;1.00;2.00;3.00;0.00;0.02;2.00;-15.89
4.00;18.00;1.00;2.00;1.00;1.00;2.00;0.00;1.18;3.00;-44.21
25.00;8.30;1.00;2.00;1.00;2.00;1.00;1.00;0.00;3.00;-27.05
5.00;20.50;1.00;2.00;1.00;1.00;2.00;1.00;0.00;3.00;-44.00
5.00;26.30;1.00;2.00;1.00;1.00;2.00;0.00;0.00;3.00;-44796.00
13.00;50.00;2.00;2.00;1.00;1.00;2.00;0.00;0.00;2.00;-16.00
14.00;52.50;2.00;2.00;2.00;1.00;2.00;1.00;0.00;3.00;-15.90
1.00;62.00;1.00;2.00;1.00;1.00;2.00;0.00;0.00;2.00;-15.00
1.00;25.00;1.00;2.00;1.00;1.00;2.00;0.00;3.27;2.00;-35.88
26.00;10.00;3.00;1.00;1.00;2.00;2.00;1.00;0.00;1.00;-27.05
11.00;17.00;3.00;1.00;1.00;3.00;1.00;0.00;0.00;3.00;-34.00
11.00;55.00;3.00;1.00;1.00;3.00;1.00;1.00;0.00;3.00;-23.11
1.00;42.10;1.00;2.00;1.00;1.00;1.00;0.00;0.00;2.00;-45.00
1.00;19.00;1.00;2.00;1.00;1.00;1.00;1.00;1.18;2.00;-44.21
1.00;40.00;1.00;2.00;1.00;1.00;1.00;0.00;0.00;2.00;-16.00
1.00;17.80;1.00;2.00;1.00;1.00;1.00;1.00;0.00;2.00;-45.00
1.00;26.40;1.00;2.00;1.00;1.00;1.00;0.00;0.00;2.00;-45.00
1.00;46.30;1.00;2.00;1.00;1.00;2.00;1.00;0.36;3.00;-15.72
1.00;120.00;1.00;2.00;1.00;1.00;2.00;1.00;0.36;3.00;-24.30
1.00;60.00;1.00;2.00;1.00;1.00;2.00;0.00;0.12;3.00;-15.60
1.00;55.00;1.00;2.00;1.00;1.00;2.00;0.00;0.09;3.00;-15.72
1.00;50.70;1.00;2.00;1.00;1.00;2.00;1.00;0.27;3.00;-16.00
1.00;18.00;1.00;2.00;1.00;1.00;2.00;1.00;0.00;2.00;-44.00
